well,serum,dilution_factor,replicate,fastq
A1,2023rePool_H3N2_50k,4,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc1_rep1_S102_R1_001.fastq.gz
B1,2023rePool_H3N2_50k,8,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc2_rep1_S103_R1_001.fastq.gz
C1,2023rePool_H3N2_50k,16,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc3_rep1_S104_R1_001.fastq.gz
D1,2023rePool_H3N2_50k,32,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc4_rep1_S105_R1_001.fastq.gz
E1,2023rePool_H3N2_50k,64,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc5_rep1_S106_R1_001.fastq.gz
F1,2023rePool_H3N2_50k,128,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc6_rep1_S107_R1_001.fastq.gz
G1,2023rePool_H3N2_50k,256,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc7_rep1_S108_R1_001.fastq.gz
H1,2023rePool_H3N2_50k,512,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc8_rep1_S109_R1_001.fastq.gz
A2,2023rePool_H3N2_50k,4,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc1_rep2_S110_R1_001.fastq.gz
B2,2023rePool_H3N2_50k,8,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc2_rep2_S111_R1_001.fastq.gz
C2,2023rePool_H3N2_50k,16,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc3_rep2_S112_R1_001.fastq.gz
D2,2023rePool_H3N2_50k,32,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc4_rep2_S113_R1_001.fastq.gz
E2,2023rePool_H3N2_50k,64,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc5_rep2_S114_R1_001.fastq.gz
F2,2023rePool_H3N2_50k,128,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc6_rep2_S115_R1_001.fastq.gz
G2,2023rePool_H3N2_50k,256,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc7_rep2_S116_R1_001.fastq.gz
H2,2023rePool_H3N2_50k,512,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_50k_conc8_rep2_S117_R1_001.fastq.gz
A3,2023rePool_H3N2_75k,4,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc1_rep1_S118_R1_001.fastq.gz
B3,2023rePool_H3N2_75k,8,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc2_rep1_S119_R1_001.fastq.gz
C3,2023rePool_H3N2_75k,16,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc3_rep1_S120_R1_001.fastq.gz
D3,2023rePool_H3N2_75k,32,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc4_rep1_S121_R1_001.fastq.gz
E3,2023rePool_H3N2_75k,64,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc5_rep1_S122_R1_001.fastq.gz
F3,2023rePool_H3N2_75k,128,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc6_rep1_S123_R1_001.fastq.gz
G3,2023rePool_H3N2_75k,256,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc7_rep1_S124_R1_001.fastq.gz
H3,2023rePool_H3N2_75k,512,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc8_rep1_S125_R1_001.fastq.gz
A4,2023rePool_H3N2_75k,4,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc1_rep2_S126_R1_001.fastq.gz
B4,2023rePool_H3N2_75k,8,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc2_rep2_S127_R1_001.fastq.gz
C4,2023rePool_H3N2_75k,16,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc3_rep2_S128_R1_001.fastq.gz
D4,2023rePool_H3N2_75k,32,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc4_rep2_S129_R1_001.fastq.gz
E4,2023rePool_H3N2_75k,64,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc5_rep2_S130_R1_001.fastq.gz
F4,2023rePool_H3N2_75k,128,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc6_rep2_S131_R1_001.fastq.gz
G4,2023rePool_H3N2_75k,256,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc7_rep2_S132_R1_001.fastq.gz
H4,2023rePool_H3N2_75k,512,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_75k_conc8_rep2_S133_R1_001.fastq.gz
A5,2023rePool_H3N2_100k,4,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc1_rep1_S134_R1_001.fastq.gz
B5,2023rePool_H3N2_100k,8,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc2_rep1_S135_R1_001.fastq.gz
C5,2023rePool_H3N2_100k,16,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc3_rep1_S136_R1_001.fastq.gz
D5,2023rePool_H3N2_100k,32,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc4_rep1_S137_R1_001.fastq.gz
E5,2023rePool_H3N2_100k,64,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc5_rep1_S138_R1_001.fastq.gz
F5,2023rePool_H3N2_100k,128,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc6_rep1_S139_R1_001.fastq.gz
G5,2023rePool_H3N2_100k,256,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc7_rep1_S140_R1_001.fastq.gz
H5,2023rePool_H3N2_100k,512,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc8_rep1_S141_R1_001.fastq.gz
A6,2023rePool_H3N2_100k,4,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc1_rep2_S142_R1_001.fastq.gz
B6,2023rePool_H3N2_100k,8,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc2_rep2_S143_R1_001.fastq.gz
C6,2023rePool_H3N2_100k,16,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc3_rep2_S144_R1_001.fastq.gz
D6,2023rePool_H3N2_100k,32,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc4_rep2_S145_R1_001.fastq.gz
E6,2023rePool_H3N2_100k,64,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc5_rep2_S146_R1_001.fastq.gz
F6,2023rePool_H3N2_100k,128,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc6_rep2_S147_R1_001.fastq.gz
G6,2023rePool_H3N2_100k,256,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc7_rep2_S148_R1_001.fastq.gz
H6,2023rePool_H3N2_100k,512,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_100k_conc8_rep2_S149_R1_001.fastq.gz
A7,2023rePool_H3N2_150k,4,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc1_rep1_S150_R1_001.fastq.gz
B7,2023rePool_H3N2_150k,8,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc2_rep1_S151_R1_001.fastq.gz
C7,2023rePool_H3N2_150k,16,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc3_rep1_S152_R1_001.fastq.gz
D7,2023rePool_H3N2_150k,32,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc4_rep1_S153_R1_001.fastq.gz
E7,2023rePool_H3N2_150k,64,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc5_rep1_S154_R1_001.fastq.gz
F7,2023rePool_H3N2_150k,128,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc6_rep1_S155_R1_001.fastq.gz
G7,2023rePool_H3N2_150k,256,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc7_rep1_S156_R1_001.fastq.gz
H7,2023rePool_H3N2_150k,512,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc8_rep1_S157_R1_001.fastq.gz
A8,2023rePool_H3N2_150k,4,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc1_rep2_S158_R1_001.fastq.gz
B8,2023rePool_H3N2_150k,8,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc2_rep2_S159_R1_001.fastq.gz
C8,2023rePool_H3N2_150k,16,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc3_rep2_S160_R1_001.fastq.gz
D8,2023rePool_H3N2_150k,32,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc4_rep2_S161_R1_001.fastq.gz
E8,2023rePool_H3N2_150k,64,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc5_rep2_S162_R1_001.fastq.gz
F8,2023rePool_H3N2_150k,128,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc6_rep2_S163_R1_001.fastq.gz
G8,2023rePool_H3N2_150k,256,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240329_VH00699_467_AAFKFCYM5/Unaligned/Project_bloom_lab/MOI_150k_conc7_rep2_S164_R1_001.fastq.gz
