plate_plasmid,lib-id-extended,strain-name,barcode
plate1-A1_phh_A-Switzerland-9715293-2013_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_1,A/Switzerland/9715293/2013,bc1
plate1-A2_phh_A-Switzerland-9715293-2013_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_1,A/Switzerland/9715293/2013,bc2
plate1-A3_phh_A-Switzerland-9715293-2013_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_1,A/Switzerland/9715293/2013,bc3
plate1-A4_phh_A-Switzerland-9715293-2013-NIB-88_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_2,A/Switzerland/9715293/2013 NIB-88,bc1
plate1-A5_phh_A-Switzerland-9715293-2013-NIB-88_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_2,A/Switzerland/9715293/2013 NIB-88,bc2
plate1-A6_phh_A-Switzerland-9715293-2013-NIB-88_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_2,A/Switzerland/9715293/2013 NIB-88,bc3
plate1-A7_phh_A-Texas-50-2012-X-223A-13-252_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_3,A/Texas/50/2012 X-223A,bc1
plate1-A8_phh_A-Texas-50-2012-X-223A-13-252_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_3,A/Texas/50/2012 X-223A,bc2
plate1-A9_phh_A-Texas-50-2012-X-223A-13-252_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_3,A/Texas/50/2012 X-223A,bc3
plate1-A10_phh_A-Texas-50-2012_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_4,A/Texas/50/2012,bc1
plate1-A11_phh_A-Texas-50-2012_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_4,A/Texas/50/2012,bc2
plate1-A12_phh_A-Texas-50-2012_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_4,A/Texas/50/2012,bc3
plate1-B1_phh_A-Hong-Kong-4801-2014-15-192_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_5,A/Hong Kong/4801/2014 egg,bc1
plate1-B2_phh_A-Hong-Kong-4801-2014-15-192_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_5,A/Hong Kong/4801/2014 egg,bc2
plate1-B3_phh_A-Hong-Kong-4801-2014-15-192_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_5,A/Hong Kong/4801/2014 egg,bc3
plate1-B4_phh_A-Hong-Kong-4801-2014_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_6,A/Hong Kong/4801/2014,bc1
